rowId,featureKey,value,path
addSaltAndPepperNoise/addSaltAndPepperNoise,AddSaltAndPepperNoise:type=UInt8:probability=0.02,1,addSaltAndPepperNoise/addSaltAndPepperNoise.json
addSaltAndPepperNoise/addSaltAndPepperNoise,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,addSaltAndPepperNoise/addSaltAndPepperNoise.json
addSaltAndPepperNoise/addSaltAndPepperNoise,Zero:type=UInt8:width=64:height=64:depth=64,1,addSaltAndPepperNoise/addSaltAndPepperNoise.json
addSaltAndPepperNoise/addSaltAndPepperNoise,intercept,1,addSaltAndPepperNoise/addSaltAndPepperNoise.json
addShotSpeckleNoise/addShotSpeckleNoise,AddShotNoise:type=Float64:scale=2.0,1,addShotSpeckleNoise/addShotSpeckleNoise.json
addShotSpeckleNoise/addShotSpeckleNoise,AddSpeckleNoise:type=Float64:std=0.5,1,addShotSpeckleNoise/addShotSpeckleNoise.json
addShotSpeckleNoise/addShotSpeckleNoise,Cast:sourceType=Float64:targetType=UInt8,1,addShotSpeckleNoise/addShotSpeckleNoise.json
addShotSpeckleNoise/addShotSpeckleNoise,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,addShotSpeckleNoise/addShotSpeckleNoise.json
addShotSpeckleNoise/addShotSpeckleNoise,Zero:type=Float64:width=64:height=64:depth=16,1,addShotSpeckleNoise/addShotSpeckleNoise.json
addShotSpeckleNoise/addShotSpeckleNoise,intercept,1,addShotSpeckleNoise/addShotSpeckleNoise.json
affineKeypointRegistration/affineKeypointRegistration,AffineRegistration:maxIterations=1:initialLinearStep=0.02:initialTranslationStep=1.0:minStep=0.001:stepShrink=0.5,1,affineKeypointRegistration/affineKeypointRegistration.json
affineKeypointRegistration/affineKeypointRegistration,ReadPointSet,1,affineKeypointRegistration/affineKeypointRegistration.json
affineKeypointRegistration/affineKeypointRegistration,WriteMatrix,1,affineKeypointRegistration/affineKeypointRegistration.json
affineKeypointRegistration/affineKeypointRegistration,intercept,1,affineKeypointRegistration/affineKeypointRegistration.json
biasCorrection/biasCorrection,Cast:sourceType=Float64:targetType=UInt8,1,biasCorrection/biasCorrection.json
biasCorrection/biasCorrection,CorrectBias:type=Float64:model=<input>,1,biasCorrection/biasCorrection.json
biasCorrection/biasCorrection,CorrectBiasMasked:type=Float64:model=<input>,1,biasCorrection/biasCorrection.json
biasCorrection/biasCorrection,FitBiasModel:type=Float64:order=2:depth=256,1,biasCorrection/biasCorrection.json
biasCorrection/biasCorrection,FitBiasModelMasked:type=Float64:order=2:depth=256,1,biasCorrection/biasCorrection.json
biasCorrection/biasCorrection,IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0,1,biasCorrection/biasCorrection.json
biasCorrection/biasCorrection,Read:type=Float64:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,biasCorrection/biasCorrection.json
biasCorrection/biasCorrection,Read:type=UInt8:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,biasCorrection/biasCorrection.json
biasCorrection/biasCorrection,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,biasCorrection/biasCorrection.json
biasCorrection/biasCorrection,intercept,1,biasCorrection/biasCorrection.json
binaryContour/binaryContour,BinaryContour:fullyConnected=false:windowSize=7,1,binaryContour/binaryContour.json
binaryContour/binaryContour,Read:type=UInt8:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,binaryContour/binaryContour.json
binaryContour/binaryContour,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,binaryContour/binaryContour.json
binaryContour/binaryContour,intercept,1,binaryContour/binaryContour.json
binaryMedian/binaryMedian,BinaryMedian:radius=3:windowSize=7,1,binaryMedian/binaryMedian.json
binaryMedian/binaryMedian,Read:type=UInt8:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,binaryMedian/binaryMedian.json
binaryMedian/binaryMedian,Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,1,binaryMedian/binaryMedian.json
