featureKey,supportCount,status
Volume:xUnit=1.0:yUnit=1.0:zUnit=1.0,1,needs-probe-pattern-or-more-context
WhiteTopHat:type=UInt8:radius=3:windowSize=7,1,probe-emitted
Write:format=Image stack:depth=1:chunkX=64:chunkY=64:chunkZ=8:maxConcurrentWrites=0:frameAxis=0,51,calibration-boilerplate
WriteChunks:chunkX=12:chunkY=13:chunkZ=14,1,needs-probe-pattern-or-more-context
WriteChunks:chunkX=16:chunkY=16:chunkZ=16,1,needs-probe-pattern-or-more-context
WriteChunks:chunkX=64:chunkY=64:chunkZ=16,1,needs-probe-pattern-or-more-context
WriteMatrix,1,needs-probe-pattern-or-more-context
WriteMesh:format=.obj,1,needs-probe-pattern-or-more-context
WritePointSet,4,needs-probe-pattern-or-more-context
WriteSlabSlices:windowSize=7,1,needs-probe-pattern-or-more-context
Zero:type=Float64:width=64:height=64:depth=16,1,calibration-boilerplate
Zero:type=Float64:width=64:height=64:depth=64,1,calibration-boilerplate
Zero:type=UInt8:width=64:height=64:depth=64,3,calibration-boilerplate
