featureKey,supportCount,supportRatio
ResampleAffineTrilinearSlices:type=Float32:lerp=(fun a b t -> a + (b - a) * t):windowSize=7:inputGeometry={ W = 512; H = 384; D = 16; Origin = TinyLinAlg.v3 0.0 0.0 0.0; Spacing = TinyLinAlg.v3 1.0 1.0 1.0; Direction = { m00 = 1.0; m01 = 0.0; m02 = 0.0; m10 = 0.0; m11 = 1.0; m12 = 0.0; m20 = 0.0; m21 = 0.0; m22 = 1.0 } }:outputGeometry={ W = 128; H = 128; D = 8; Origin = TinyLinAlg.v3 0.0 0.0 0.0; Spacing = TinyLinAlg.v3 1.0 1.0 1.0; Direction = { m00 = 1.0; m01 = 0.0; m02 = 0.0; m10 = 0.0; m11 = 1.0; m12 = 0.0; m20 = 0.0; m21 = 0.0; m22 = 1.0 } }:affine={ A = { m00 = 1.0; m01 = 0.0; m02 = 0.0; m10 = 0.0; m11 = 1.0; m12 = 0.0; m20 = 0.0; m21 = 0.0; m22 = 1.0 }; T = TinyLinAlg.v3 4.0 -2.0 0.0; C = TinyLinAlg.v3 64.0 64.0 4.0 }:background=0.0f,1,0.014705882352941176
Resize:type=UInt8:width=64:height=64:depth=64:interpolation=Linear,1,0.014705882352941176
Resize:type=UInt8:width=96:height=96:depth=96:interpolation=Linear,1,0.014705882352941176
SaltAndPepperNoise:type=UInt8:width=64:height=64:depth=64:probability=0.02,1,0.014705882352941176
ScalarFunction:function=sqrt:a=<input>,1,0.014705882352941176
ScalarOp:operation=-:type=Float64:a=<input>:b=<input>,1,0.014705882352941176
ScalarOp:operation=/:type=Float64:a=<input>:b=<input>,1,0.014705882352941176
ScalarOpImage:operation=*:type=UInt8:value=85,1,0.014705882352941176
SerialApplyTrans:type=Float32:background=0.0:geometry=<input>,1,0.014705882352941176
SerialEstBoundingBox:type=Float32,1,0.014705882352941176
SerialEstTrans:type=Float32:method=dogAffine:searchRadius=8:scale=1.6:pixelFraction=0.1,1,0.014705882352941176
SerialPolynomialBiasCorrect:type=Float32:order=2,1,0.014705882352941176
ShotNoise:type=Float64:width=64:height=64:depth=64:scale=2.0,1,0.014705882352941176
ShowImage:colorMap=Greys,1,0.014705882352941176
SiftKeypoints:type=Float64:sigma0=3.0:scaleFactor=1.6:scaleLevels=4:contrastThreshold=0.1:stride=16,1,0.014705882352941176
SignedDistanceBand:bandRadius=8:stride=4,1,0.014705882352941176
SmoothWBilateral:type=Float64:domainSigma=1.5:rangeSigma=30.0:windowSize=7,1,0.014705882352941176
SmoothWGauss:sigma=3.0:outputRegionMode=None:boundaryCondition=None:windowSize=7,1,0.014705882352941176
SmoothWGauss:sigma=3.0:outputRegionMode=None:boundaryCondition=None:windowSize=None,2,0.029411764705882353
SmoothWGauss:sigma=3.0:outputRegionMode=Valid:boundaryCondition=None:windowSize=None,1,0.014705882352941176
