SimpleITK Filter,Category
RecursiveGaussianImageFilter,Rolling-window
RegionOfInterestImageFilter,Slice-wise
RegionalMaximaImageFilter,Slice-wise
RegionalMinimaImageFilter,Slice-wise
ReinitializeLevelSetImageFilter,Slice-wise
RelabelComponentImageFilter,Slice-wise
RelabelLabelMapFilter,Slice-wise
RenyiEntropyThresholdImageFilter,Slice-wise
ResampleImageFilter,Slice-wise
RescaleIntensityImageFilter,Slice-wise
RichardsonLucyDeconvolutionImageFilter,Full-volume
RoundImageFilter,Slice-wise
SLICImageFilter,Slice-wise
STAPLEImageFilter,Full-volume
SaltAndPepperNoiseImageFilter,Slice-wise
ScalarChanAndVeseDenseLevelSetImageFilter,Slice-wise
ScalarConnectedComponentImageFilter,Full-volume
ScalarImageKmeansImageFilter,Slice-wise
ScalarToRGBColormapImageFilter,Slice-wise
ScaleSkewVersor3DTransform,Full-volume
ScaleTransform,Full-volume
ScaleVersor3DTransform,Full-volume
ShanbhagThresholdImageFilter,Slice-wise
ShapeDetectionLevelSetImageFilter,Slice-wise
ShiftScaleImageFilter,Slice-wise
ShotNoiseImageFilter,Slice-wise
ShrinkImageFilter,Slice-wise
SigmoidImageFilter,Slice-wise
SignedDanielssonDistanceMapImageFilter,Full-volume
SignedMaurerDistanceMapImageFilter,Full-volume
Similarity2DTransform,Full-volume
Similarity3DTransform,Full-volume
SimilarityIndexImageFilter,Full-volume
SimpleContourExtractorImageFilter,Slice-wise
SinImageFilter,Slice-wise
SliceImageFilter,Slice-wise
SmoothingRecursiveGaussianImageFilter,Rolling-window
SobelEdgeDetectionImageFilter,Slice-wise
SpeckleNoiseImageFilter,Slice-wise
SqrtImageFilter,Slice-wise
SquareImageFilter,Slice-wise
SquaredDifferenceImageFilter,Slice-wise
StandardDeviationProjectionImageFilter,Slice-wise
StatisticsImageFilter,Full-volume
StochasticFractalDimensionImageFilter,Slice-wise
SubtractImageFilter,Slice-wise
SumProjectionImageFilter,Slice-wise
SymmetricForcesDemonsRegistrationFilter,Full-volume
TanImageFilter,Slice-wise
TernaryAddImageFilter,Slice-wise
TernaryMagnitudeImageFilter,Slice-wise
TernaryMagnitudeSquaredImageFilter,Slice-wise
ThresholdImageFilter,Slice-wise
ThresholdMaximumConnectedComponentsImageFilter,Full-volume
ThresholdSegmentationLevelSetImageFilter,Slice-wise
TikhonovDeconvolutionImageFilter,Full-volume
TileImageFilter,Slice-wise
TobogganImageFilter,Slice-wise
TransformGeometryImageFilter,Full-volume
TransformToDisplacementFieldFilter,Full-volume
TransformixImageFilter,Full-volume
TranslationTransform,Full-volume
TriangleThresholdImageFilter,Slice-wise
UnaryMinusImageFilter,Slice-wise
UnsharpMaskImageFilter,Rolling-window
ValuedRegionalMaximaImageFilter,Slice-wise
ValuedRegionalMinimaImageFilter,Slice-wise
VectorConfidenceConnectedImageFilter,Slice-wise
VectorConnectedComponentImageFilter,Full-volume
VectorIndexSelectionCastImageFilter,Slice-wise
VectorMagnitudeImageFilter,Slice-wise
VersorRigid3DTransform,Full-volume
VersorTransform,Full-volume
VotingBinaryHoleFillingImageFilter,Slice-wise
VotingBinaryImageFilter,Slice-wise
VotingBinaryIterativeHoleFillingImageFilter,Slice-wise
WarpImageFilter,Slice-wise
WhiteTopHatImageFilter,Slice-wise
WienerDeconvolutionImageFilter,Full-volume
WrapPadImageFilter,Slice-wise
XorImageFilter,Slice-wise
YenThresholdImageFilter,Slice-wise
ZeroCrossingBasedEdgeDetectionImageFilter,Slice-wise
ZeroCrossingImageFilter,Slice-wise
ZeroFluxNeumannPadImageFilter,Slice-wise
